codigo_ibge,municipio,area_km2
5100102,Acorizal,850.763
5100201,Água Boa,7549.308
5100250,Alta Floresta,8955.409
5100300,Alto Araguaia,5094.148
5100359,Alto Boa Vista,2248.414
5100409,Alto Garças,3857.559
5100508,Alto Paraguai,1847.354
5100607,Alto Taquari,1744.743
5100805,Apiacás,20488.646
5101001,Araguaiana,6380.7
5101209,Araguainha,675.231
5101258,Araputanga,1639.731
5101308,Arenápolis,417.337
5101407,Aripuanã,24678.135
5101605,Barão de Melgaço,11374.872
5101704,Barra do Bugres,5976.863
5101803,Barra do Garças,8362.912
5101837,Boa Esperança do Norte,4704.488
5101852,Bom Jesus do Araguaia,4266.636
5101902,Brasnorte,15968.355
5102504,Cáceres,24499.922
5102603,Campinápolis,5978.984
5102637,Campo Novo do Parecis,9428.585
5102678,Campo Verde,4771.091
5102686,Campos de Júlio,6792.808
5102694,Canabrava do Norte,3449.037
5102702,Canarana,10855.181
5102793,Carlinda,2421.788
5102850,Castanheira,3713.465
5103007,Chapada dos Guimarães,6603.253
5103056,Cláudia,3843.562
5103106,Cocalinho,16563.136
5103205,Colíder,3112.091
5103254,Colniza,27960.244
5103304,Comodoro,21485.018
5103353,Confresa,5802.302
5103361,Conquista D'Oeste,2684.676
5103379,Cotriguaçu,9469.956
5103403,Cuiabá,4327.22
5103437,Curvelândia,357.212
5103452,Denise,1273.178
5103502,Diamantino,8263.397
5103601,Dom Aquino,2183.603
5103700,Feliz Natal,11661.514
5103809,Figueirópolis D'Oeste,891.448
5103858,Gaúcha do Norte,16908.375
5103908,General Carneiro,4514.917
5103957,Glória D'Oeste,833.131
5104104,Guarantã do Norte,4725.273
5104203,Guiratinga,5044.493
5104500,Indiavaí,592.495
5104526,Ipiranga do Norte,3422.016
5104542,Itanhangá,2909.745
5104559,Itaúba,4521.79
5104609,Itiquira,8698.814
5104807,Jaciara,2429.678
5104906,Jangada,1114.302
5105002,Jauru,1345.411
5105101,Juara,22632.713
5105150,Juína,26397.173
5105176,Juruena,3207.837
5105200,Juscimeira,2291.301
5105234,Lambari D'Oeste,1810.463
5105259,Lucas do Rio Verde,3674.596
5105309,Luciara,4282.733
5105507,Vila Bela da Santíssima Trindade,13484.71
5105580,Marcelândia,12285.486
5105606,Matupá,5228.28
5105622,Mirassol d'Oeste,1085.488
5105903,Nobres,3908.739
5106000,Nortelândia,1336.754
5106109,Nossa Senhora do Livramento,5410.138
5106158,Nova Bandeirantes,9556.661
5106174,Nova Nazaré,4034.539
5106182,Nova Lacerda,4780.426
5106190,Nova Santa Helena,2385.611
5106208,Nova Brasilândia,3289.572
5106216,Nova Canaã do Norte,5953.099
5106224,Nova Mutum,9536.814
5106232,Nova Olímpia,1327.266
5106240,Nova Ubiratã,8720.777
5106257,Nova Xavantina,5492.21
5106265,Novo Mundo,5800.758
5106273,Novo Horizonte do Norte,920.048
5106281,Novo São Joaquim,5225.595
5106299,Paranaíta,4814.149
5106307,Paranatinga,24127.429
5106315,Novo Santo Antônio,4394.78
5106372,Pedra Preta,3841.672
5106422,Peixoto de Azevedo,14433.774
5106455,Planalto da Serra,2437.59
5106505,Poconé,17013.707
5106653,Pontal do Araguaia,2742.482
5106703,Ponte Branca,701.138
5106752,Pontes e Lacerda,8545.292
5106778,Porto Alegre do Norte,3971.733
5106802,Porto dos Gaúchos,6846.668
5106828,Porto Esperidião,5835.276
5106851,Porto Estrela,2045.467
5107008,Poxoréu,6915.298
5107040,Primavera do Leste,5470.383
5107065,Querência,17799.989
5107107,São José dos Quatro Marcos,1282.762
5107156,Reserva do Cabaçal,1331.677
5107180,Ribeirão Cascalheira,11354.555
5107198,Ribeirãozinho,624.997
5107206,Rio Branco,539.287
5107248,Santa Carmem,3812.09
5107263,Santo Afonso,1166.382
5107297,São José do Povo,489.737
5107305,São José do Rio Claro,4525.304
5107354,São José do Xingu,7465.563
5107404,São Pedro da Cipa,344.33
5107578,Rondolândia,12658.341
5107602,Rondonópolis,4824.505
5107701,Rosário Oeste,7339.442
5107743,Santa Cruz do Xingu,5623.39
5107750,Salto do Céu,1753.38
5107768,Santa Rita do Trivelato,4740.204
5107776,Santa Terezinha,6466.228
5107792,Santo Antônio do Leste,3403.593
5107800,Santo Antônio de Leverger,9519.194
5107859,São Félix do Araguaia,16682.473
5107875,Sapezal,13614.552
5107883,Serra Nova Dourada,1490.793
5107909,Sinop,3990.87
5107925,Sorriso,8454.83
5107941,Tabaporã,8439.05
5107958,Tangará da Serra,11636.262
5108006,Tapurah,4492.539
5108055,Terra Nova do Norte,2399.737
5108105,Tesouro,4244.073
5108204,Torixoréu,2398.383
5108303,União do Sul,4590.628
5108352,Vale de São Domingos,1902.108
5108402,Várzea Grande,939.887
5108501,Vera,2978.675
5108600,Vila Rica,7436.42
5108808,Nova Guarita,1121.928
5108857,Nova Marilândia,1905.744
5108907,Nova Maringá,11553.479
5108956,Nova Monte Verde,5139.307
