codigo_ibge,municipio,regiao_saude,latitude,longitude,area_km2,fonte_geo,atualizado_em
5100102,Acorizal,Baixada Cuiabana,-15.1944,-56.29475,853.525,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:21
5100201,Água Boa,Médio Araguaia,-14.08685,-52.4744,7571.972,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:22
5100250,Alta Floresta,Alto Tapajós,-10.04175,-56.40535,9005.792,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:23
5100300,Alto Araguaia,Região Sul,-17.4215,-53.4849,5439.089,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:24
5100359,Alto Boa Vista,Norte Araguaia Karajá,-11.803,-51.76735,2234.325,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:24
5100409,Alto Garças,Região Sul,-16.853,-53.5821,3846.357,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:25
5100508,Alto Paraguai,Centro Norte,-14.76905,-56.674,1848.544,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:26
5100607,Alto Taquari,Região Sul,-17.7729,-53.3033,1430.37,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:27
5100805,Apiacás,Alto Tapajós,-8.577,-57.8036,20555.831,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:27
5101001,Araguaiana,Garças Araguaia,-15.10205,-51.7648,6410.912,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:28
5101209,Araguainha,Região Sul,-16.72635,-53.138,687.136,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:29
5101258,Araputanga,Oeste,-15.26265,-58.487,1676.216,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:30
5101308,Arenápolis,Médio Norte,-14.505,-56.84765,415.437,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:30
5101407,Aripuanã,Noroeste,-10.1037,-59.74305,24762.107,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:31
5101605,Barão de Melgaço,Baixada Cuiabana,-16.7449,-56.1085,11403.367,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:32
5101704,Barra do Bugres,Médio Norte,-15.12045,-57.83095,6029.299,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:33
5101803,Barra do Garças,Garças Araguaia,-15.3561,-52.56065,8390.209,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:33
5101837,Boa Esperança do Norte,Teles Pires,,,,Erro: 500 Server Error: Internal Server Error for url: https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5101837?formato=application%2Fvnd.geo%2Bjson&qualidade=minima,2026-05-23T18:40:34
5101852,Bom Jesus do Araguaia,Médio Araguaia,-12.20385,-51.6486,4277.004,IBGE Malhas v3 - qualidade mínima; centroide por bounding box; área aproximada calculada,2026-05-23T18:40:35
