setor_censitario,populacao,codigo_ibge,municipio,bairro_ou_localidade,tipo_territorio,fonte_populacao,observacao_validacao,url_fonte_populacao,latitude,longitude,url_fonte_malha,renda_media,percentual_baixa_renda,percentual_bolsa_familia,percentual_cadunico,percentual_bpc,percentual_baixa_escolaridade,percentual_saneamento_inadequado,percentual_rural,indicador_pressao_aps,percentual_plano_saude_estimado
510010205000001,537,5100102,Acorizal,Setor 510010205000001,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.200346177346193,-56.37286020298486,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000002,376,5100102,Acorizal,Setor 510010205000002,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.200573971059047,-56.36396263935975,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000003,450,5100102,Acorizal,Setor 510010205000003,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.203903282643633,-56.362984347843934,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000004,81,5100102,Acorizal,Setor 510010205000004,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.161150743151529,-56.306364159332325,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000005,267,5100102,Acorizal,Setor 510010205000005,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.324949762303318,-56.375108259266206,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000008,257,5100102,Acorizal,Setor 510010205000008,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.269560031653981,-56.34698610350236,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000009,15,5100102,Acorizal,Setor 510010205000009,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.198695029345204,-56.35812918356401,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000010,576,5100102,Acorizal,Setor 510010205000010,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.19312862281352,-56.37116532700134,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000011,474,5100102,Acorizal,Setor 510010205000011,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.197660182056628,-56.36406636375835,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000012,157,5100102,Acorizal,Setor 510010205000012,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.14597382116969,-56.342980168324395,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000013,136,5100102,Acorizal,Setor 510010205000013,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.132867662130318,-56.36318762064696,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000015,264,5100102,Acorizal,Setor 510010205000015,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.056025874893855,-56.26270630204729,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000016,18,5100102,Acorizal,Setor 510010205000016,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.188975154126377,-56.38526944570018,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010205000017,5,5100102,Acorizal,Setor 510010205000017,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.194790532507984,-56.38690186471583,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
510010207000001,226,5100102,Acorizal,Setor 510010207000001,Setor censitário IBGE,IBGE/Censo 2022 - Agregados por Setores Censitários (Agregados_por_setores_basico_BR.xlsx),População real por setor censitário. Coordenadas dependem da malha IBGE 2022.,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_xlsx/Agregados_por_setores_basico_BR.zip,-15.234866004324203,-56.295226451417534,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2022/setores/shp/UF/MT_setores_CD2022.zip,0,0,0,0,0,0,0,0,0,0
