codigo_ibge,municipio,abastecimento_agua_rede_pct,agua_canalizacao_interna_pct,banheiro_exclusivo_pct,esgotamento_adequado_rede_ou_fossa_pct,lixo_coletado_pct,indice_vulnerabilidade_saneamento_2022,taxa_alfabetizacao_pct,taxa_analfabetismo_estimado_pct,nivel_instrucao_baixo_pct,nivel_instrucao_medio_ou_superior_pct,indice_vulnerabilidade_instrucao_2022,renda_censo_2022,pct_rdpc_ate_1_4_sm_2022,pct_rdpc_ate_1_2_sm_2022,percentual_rural_2022,fonte_saneamento,fonte_alfabetizacao,fonte_instrucao,fonte_renda,fonte_recuperacao,observacao_recuperacao
5102504,Cáceres - MT,77.24,,100.0,85.19,100.0,9.39,92.24,7.76,32.35,50.48,40.94,89163.0,9.91,29.84,11.48,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5101803,Barra do Garças - MT,92.29,,100.0,100.0,100.0,1.93,95.69,4.31,24.8,58.07,33.37,68974.0,6.65,21.83,10.03,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5105150,Juína - MT,59.31,,100.0,27.4,100.0,28.32,93.16,6.84,39.36,42.4,48.48,45585.0,4.94,16.56,19.7,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5105101,Juara - MT,71.56,,100.0,72.24,100.0,14.05,93.07,6.93,43.31,40.46,51.42,34701.0,3.02,19.22,19.61,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5106422,Peixoto de Azevedo - MT,72.02,,100.0,77.05,100.0,12.73,90.52,9.48,40.91,36.0,52.45,32443.0,11.33,30.27,19.31,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5106505,Poconé - MT,73.79,,100.0,24.57,100.0,25.41,88.88,11.12,41.11,40.45,50.33,31179.0,11.7,33.55,25.02,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5106307,Paranatinga - MT,77.14,,100.0,54.79,100.0,17.02,93.06,6.94,46.17,35.81,55.18,26239.0,6.33,20.55,27.93,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5107008,Poxoréu - MT,49.78,,100.0,41.45,100.0,27.19,89.46,10.54,47.89,36.75,55.57,23159.0,9.56,27.68,30.16,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5103304,Comodoro - MT,67.69,,100.0,47.57,100.0,21.19,91.47,8.53,46.69,37.34,54.67,18153.0,10.24,24.98,29.78,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5107800,Santo Antônio de Leverger - MT,54.46,,100.0,36.48,100.0,27.27,89.91,10.09,42.0,41.0,50.5,15181.0,9.75,33.62,40.88,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5106109,Nossa Senhora do Livramento - MT,38.34,,100.0,53.07,100.0,27.15,87.2,12.8,45.44,41.91,51.77,12870.0,9.03,36.89,58.83,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5101407,Aripuanã - MT,57.83,,100.0,30.65,100.0,27.88,94.66,5.34,39.37,38.64,50.36,24432.0,4.78,16.57,26.12,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
5105507,Vila Bela da Santíssima Trindade - MT,32.96,,100.0,49.74,93.14,31.04,91.97,8.03,45.27,31.96,56.66,16656.0,4.29,26.33,61.88,"IBGE/SIDRA - Tabelas 6909, 9397 e 9541 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Tabela 9543 (Censo 2022),"IBGE/SIDRA - Tabela 10061 (Censo 2022), com leitura por metadados",IBGE/SIDRA - Censo 2022: Tabelas 10295 e 10296,sistema_antigo_cache_ibge_censo_2022,"Dados recuperados do cache do sistema antigo, com fontes IBGE/Censo 2022 já consolidadas na versão anterior."
