setor_censitario,codigo_ibge,municipio,nome_territorio_exibicao,fonte_nome_territorio,tipo_territorio_ajustado,codigo_territorio_ibge
510010205000012,5100102,Acorizal,Campo Limpo,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Aglomerado rural IBGE 2022,510010200001
510010207000001,5100102,Acorizal,Baús,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Distrito IBGE 2022,510010207
510010207000002,5100102,Acorizal,Baús,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Distrito IBGE 2022,510010207
510010207000003,5100102,Acorizal,Baús,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Distrito IBGE 2022,510010207
510010210000001,5100102,Acorizal,Aldeia,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Distrito IBGE 2022,510010210
510010210000002,5100102,Acorizal,Aldeia,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Distrito IBGE 2022,510010210
510020105000001,5100201,Água Boa,Centro II,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Bairro IBGE 2022,5100201009
510020105000002,5100201,Água Boa,Guarujá,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Bairro IBGE 2022,5100201005
510020105000003,5100201,Água Boa,Guarujá,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Bairro IBGE 2022,5100201005
510020105000004,5100201,Água Boa,Guarujá,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Bairro IBGE 2022,5100201005
510020105000005,5100201,Água Boa,Guarujá - Expansão,IBGE Malha de Setores Censitários 2022 — atributos territoriais CD_BAIRRO/NM_BAIRRO e correlatos,Bairro IBGE 2022,5100201004
