municipio,codigo_ibge,cnes,nome_unidade,tipo_unidade,bairro,logradouro,latitude,longitude,fonte,observacao_validacao,coordenada_valida,qtd_esf,qtd_esb,ines_vinculados
Acorizal,5100102,2390981,CENTRO DE SAUDE DE ACORIZAL,UBS / Centro de Saúde,CENTRO,AVN HONORATO PEDROSO DE BARROS,-15.19972,-56.36567,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,2,1,0000445282; 0000445290; 0001976265; 0002177005; 0002489848
Acorizal,5100102,2391015,POSTO DE SAUDE DE BAUS,Posto de Saúde,ZONA RURAL,BAUS,-15.235251,-56.295097,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Acorizal,5100102,2391007,POSTO DE SAUDE DE CHAPEU DE SOL,Posto de Saúde,ZONA RURAL,CHAPEU DE SOL,-15.056223,-56.32548,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Acorizal,5100102,2391023,POSTO DE SAUDE DE ENGENHO,Posto de Saúde,ZONA RURAL,ENGENHO,-15.155809,-56.414213,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,6220061,NUCLEO DE APOIO A SAUDE DA FAMILIA DE ALTA FLORESTA,USF / Saúde da Família,CANTEIRO CENTRAL,RUA DF,-9.8822860631,-56.0864120722,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,9538585,POSTO DE SAUDE CLAUDENIR FONTES,Posto de Saúde,PISTA DO CABECA,COMUNIDADE NOVO CRUZEIRO,-9.88176815,-56.0813426971,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,2471418,POSTO DE SAUDE JACAMINHO,Posto de Saúde,ZONA RURAL,COM SAO MATEUS,-9.897157219,-56.0975646973,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,2471469,POSTO DE SAUDE MUNDO NOVO,Posto de Saúde,ZONA RURAL,TERCEIRA LESTE,-9.899524704,-56.0876083374,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,2471531,POSTO DE SAUDE NOVA ALIANCA,Posto de Saúde,ZONA RURAL,COMUN NOVA ALIANCA,-9.8996938095,-56.0869216919,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
Alta Floresta,5100250,2471523,POSTO DE SAUDE NOVA ALVORADA,Posto de Saúde,COMUN NOVA ALVORADA,4 LESTE,-9.9045978289,-56.0713005066,Dados Abertos SUS - CNES Estabelecimentos,"Validar funcionamento, localização e vínculo territorial com APS municipal/ERS.",True,0,0,
